 (30/11; 320dpi; 720x1520; Xiaomi; Redmi Note 7; lavender; qcom; fr_Fr; 
 (28/9; 320dpi; 720x1520; Samsung; Galaxy J7 Duo; j7duolte; qcom; fr_Fr; 
 (30/11; 400dpi; 1080x2400; Xiaomi; Redmi Note 10 Pro; sweet; qcom; fr_Fr; 
 (33/12; 440dpi; 1080x2340; Oppo; Reno Z; CPH1979; mt6779; fr_Fr; 
 (29/10; 420dpi; 1080x2340; Realme; Narzo 20 Pro; RMX2151; mt6785; fr_Fr; 
 (30/11; 400dpi; 1080x2400; Vivo; Y12s; vivo2019; mt6765; fr_Fr; 
 (28/9; 480dpi; 1080x2280; Samsung; Galaxy M21; m21; qcom; fr_Fr; 
 (31/11; 440dpi; 1080x2248; Xiaomi; Mi Mix 3; perseus; qcom; fr_Fr; 
 (33/12; 420dpi; 1080x2400; OnePlus; Nord; avicii; qcom; fr_Fr; 
 (32/12; 320dpi; 720x1560; Oppo; A54; CPH2239; mt6765; fr_Fr; 
 (34/13; 400dpi; 1080x2340; Vivo; V19; vivo1933; qcom; fr_Fr; 
 (30/11; 480dpi; 1080x2340; Samsung; Galaxy A31; a31; mt6768; fr_Fr; 
 (28/9; 320dpi; 720x1520; Huawei; Y9 Prime 2019; stkl22; kirin710; fr_Fr; 
 (31/11; 400dpi; 1080x2400; Motorola; Edge 20 Lite; kyoto; mt6873; fr_Fr; 
 (33/12; 440dpi; 1080x2340; Oppo; A74; CPH2219; qcom; fr_Fr; 
 (34/13; 480dpi; 1080x2280; Xiaomi; Mi 10T Lite; gauguin; qcom; fr_Fr; 
 (30/11; 320dpi; 720x1600; Samsung; Galaxy A02s; a02q; qcom; fr_Fr; 
 (31/11; 420dpi; 1080x2340; Vivo; Y20G; vivo2037; mt6769; fr_Fr; 
 (28/9; 400dpi; 1080x2160; Oppo; Reno 3 Pro; CPH2035; mt6889; fr_Fr; 
 (29/10; 480dpi; 1080x2280; Xiaomi; Redmi Note 7 Pro; violet; qcom; fr_Fr; 
 (32/12; 440dpi; 1080x2340; OnePlus; OnePlus Nord CE; ebba; qcom; fr_Fr; 
 (34/13; 400dpi; 1080x2340; Vivo; V21e; vivo2025; qcom; fr_Fr; 
 (30/11; 320dpi; 720x1560; Samsung; Galaxy M11; m11; qcom; fr_Fr; 
 (31/11; 480dpi; 1080x2340; Oppo; A73; CPH2099; qcom; fr_Fr; 
 (29/10; 420dpi; 1080x2340; Vivo; Y51s; vivo2017; qcom; fr_Fr; 
 (28/9; 400dpi; 1080x2160; Xiaomi; Redmi Note 8T; willow; qcom; fr_Fr; 
 (32/12; 440dpi; 1080x2400; Realme; Narzo 30; RMX2156; qcom; fr_Fr; 
 (34/13; 480dpi; 1080x2280; Samsung; Galaxy S20 FE; fanedition; qcom; fr_Fr; 
 (30/11; 420dpi; 1080x2340; Oppo; Reno 6; CPH2235; qcom; fr_Fr; 
 (31/11; 320dpi; 720x1600; Vivo; Y1s; vivo2011; mt6765; fr_Fr; 
 (28/9; 400dpi; 1080x2160; Huawei; Nova 7i; mar-l21b; kirin810; fr_Fr; 
 (33/12; 440dpi; 1080x2340; Xiaomi; Mi 10 Lite; monet; qcom; fr_Fr; 
 (34/13; 480dpi; 1080x2400; Vivo; X60; vivo2045; qcom; fr_Fr; 
 (29/10; 400dpi; 1080x2160; Samsung; Galaxy A51; a51; qcom; fr_Fr; 
 (30/11; 320dpi; 720x1520; Realme; Realme C20; RMX3063; mt6765; fr_Fr; 
